N° de factura,Fecha de factura,ID Cliente,País,Cantidad,Monto
548370,2021-03-30 16:14:00,15528,United Kingdom,123,229.33
575767,2021-11-11 11:11:00,17348,United Kingdom,163,209.73
549106,2021-04-06 12:08:00,17045,United Kingdom,1,39.95
573112,2021-10-27 15:33:00,16416,United Kingdom,357,344.83
576630,2021-11-16 08:38:00,13816,Germany,91,199.98
538125,2020-12-09 15:46:00,18225,United Kingdom,16,30.0
544354,2021-02-18 10:42:00,13489,United Kingdom,64,77.28
546369,2021-03-11 11:41:00,15513,United Kingdom,10,67.5
570651,2021-10-11 13:34:00,14911,EIRE,86,321.35
539736,2020-12-21 15:18:00,0,United Kingdom,143,1172.46
537823,2020-12-08 14:25:00,0,United Kingdom,1484,6073.71
575581,2021-11-10 11:53:00,12659,France,105,91.68
580987,2021-12-06 16:35:00,17389,United Kingdom,96,720.0
543754,2021-02-11 14:26:00,18159,United Kingdom,139,530.15
563233,2021-08-14 15:56:00,17988,United Kingdom,1,2.95
545417,2021-03-02 13:42:00,15622,United Kingdom,222,576.0
556427,2021-06-10 13:23:00,0,United Kingdom,92,435.69
576571,2021-11-15 13:48:00,12950,United Kingdom,164,311.6
550623,2021-04-19 13:56:00,13719,United Kingdom,78,132.9
576083,2021-11-14 08:22:00,17404,Sweden,1060,1238.48
562417,2021-08-04 16:32:00,0,United Kingdom,526,1691.38
570733,2021-10-12 11:33:00,17190,United Kingdom,160,249.74
537026,2020-12-03 16:35:00,12395,Belgium,528,346.1
552837,2021-05-11 14:24:00,12901,United Kingdom,72,140.04
550535,2021-04-19 11:19:00,14211,United Kingdom,72,155.6
555213,2021-06-01 12:22:00,13094,United Kingdom,144,152.64
549923,2021-04-13 09:59:00,13138,United Kingdom,72,193.62
575198,2021-11-09 09:47:00,12921,United Kingdom,19,71.25
569005,2021-09-29 18:30:00,16268,United Kingdom,465,493.76
566307,2021-09-12 09:37:00,14307,United Kingdom,323,656.23
